business_name,city,council_district,dba_name,location_1,location_account,location_description,location_start_date,mailing_address,mailing_city,mailing_zip_code,naics,primary_naics_description,street_address,zip_code
STARBUCKS CORPORATION,LOS ANGELES,10,STARBUCKS COFFEE #6593,"{'latitude': '34.0191', 'longitude': '-118.335'}",0000111880-0012-8,3730 CRENSHAW 90016-5804,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,3730 CRENSHAW BLVD,90016-5804
STARBUCKS CORPORATION,GRANADA HILLS,12,STARBUCKS COFFEE #5207,"{'latitude': '34.2574', 'longitude': '-118.499'}",0000268538-0001-4,16850 DEVONSHIRE 91344-7404,1995-09-16T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,16850 DEVONSHIRE STREET,91344-7404
STARBUCKS CORPORATION,NORTHRIDGE,12,STARBUCKS COFFEE #5627,"{'latitude': '34.2427', 'longitude': '-118.5579'}",0000910728-0001-5,19500 PLUMMER 91324-2147,1998-11-14T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,19500 PLUMMER STREET #F4,91324-2147
STARBUCKS CORPORATION,LOS ANGELES,14,STARBUCKS COFFEE #22477,"{'latitude': '34.0245', 'longitude': '-118.2203'}",0000008207-0021-0,2675 OLYMPIC 90023-2607,2014-06-05T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2675 E OLYMPIC BLVD,90023-2607
STARBUCKS CORPORATION,CANOGA PARK,3,STARBUCKS COFFEE 639,"{'latitude': '34.1898', 'longitude': '-118.6058'}",0000174012-0001-1,6600 TOPANGA CANYON 91303-4603,1995-01-28T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,6600 TOPANGA CANYON BLVD #49F,91303-4603
STARBUCKS CORPORATION,LOS ANGELES,5,STARBUCKS COFFEE #6451,"{'latitude': '34.031', 'longitude': '-118.4014'}",0000710339-0001-0,9824 NATIONAL 90034-2713,2002-10-19T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,9824 NATIONAL BLVD SUITE #A,90034-2713
STARBUCKS CORPORATION,PACIFIC PALISADES,11,STARBUCKS COFFEE #20770,"{'latitude': '34.0455', 'longitude': '-118.5519'}",0000008207-0016-3,516 PALISADES 90272-2844,2013-12-13T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",516 PALISADES DRIVE,90272-2844
STARBUCKS CORPORATION,HARBOR CITY,15,STARBUCKS COFFEE #20680,"{'latitude': '33.7978', 'longitude': '-118.3069'}",0000008207-0015-5,1680 LOMITA 90710-2028,2013-09-12T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,1680 LOMITA BLVD,90710-2028
STARBUCKS CORPORATION,LOS ANGELES,1,STARBUCKS COFFEE #19883,"{'latitude': '34.0592', 'longitude': '-118.2398'}",0000008207-0013-9,639 BROADWAY 90012-2801,2013-09-19T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,445290,Home furnishings stores,639 N BROADWAY,90012-2801
STARBUCKS CORPORATION,VAN NUYS,6,STARBUCKS COFFEE #6961,"{'latitude': '34.2012', 'longitude': '-118.4679'}",0000111880-0014-4,15355 SHERMAN 91406-4200,2010-11-01T00:00:00.000,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,15355 SHERMAN WAY,91406-4200
